symbol,return_pct,win_rate,trades,lookback,vol_mult,sl_mult,tp_mult
KAS/USDT,80.1664,61.2613,111,20,1.5,2.0,2.0
AVAX/USDT,65.2291,50.8929,112,50,2.0,1.5,3.0
FET/USDT,58.8991,44.5,200,20,2.0,1.5,3.0
SEI/USDT,41.5727,48.8479,217,50,1.5,2.0,3.0
AAVE/USDT,40.8232,56.4103,78,50,1.5,2.0,3.0
STX/USDT,30.7926,46.3542,192,50,2.0,2.0,3.0
JTO/USDT,27.2574,49.2063,126,50,2.0,1.5,2.0
LINK/USDT,26.5318,58.5938,128,50,2.0,2.0,2.0
FTM/USDT,23.8576,42.4242,33,20,1.5,1.5,3.0
ADA/USDT,21.6807,45.3488,86,20,2.0,2.0,3.0
GALA/USDT,20.7886,53.617,235,20,2.0,2.0,2.0
APT/USDT,20.2232,45.2261,199,20,2.0,2.0,3.0
UNI/USDT,16.7485,44.898,98,50,1.5,2.0,3.0
SUI/USDT,16.4655,37.8378,37,50,1.5,1.5,3.0
ALGO/USDT,16.383,46.5517,232,20,2.0,2.0,3.0
SOL/USDT,16.2766,54.4118,68,20,1.5,1.5,2.0
ARB/USDT,16.0513,47.5,80,50,2.0,2.0,3.0
NEAR/USDT,14.4393,57.3034,89,50,2.0,2.0,2.0
ORDI/USDT,13.5642,47.3684,95,50,1.5,2.0,3.0
ETH/USDT,12.8166,53.8462,39,20,1.5,1.5,3.0
OP/USDT,9.3309,35.7143,182,20,2.0,1.5,3.0
TIA/USDT,9.1531,37.788,217,20,1.5,1.5,3.0
MKR/USDT,8.1043,44.5736,258,20,1.5,2.0,3.0
BNB/USDT,4.6437,46.2963,54,50,2.0,1.5,3.0
RENDER/USDT,3.4941,53.5714,84,50,2.0,2.0,2.0
PEPE/USDT,2.3028,47.7564,312,20,1.5,2.0,2.0
ATOM/USDT,2.2898,45.3416,161,20,2.0,2.0,3.0
LDO/USDT,2.175,53.4483,116,50,2.0,2.0,2.0
ICP/USDT,-1.6162,38.7755,49,50,2.0,1.5,3.0
DOT/USDT,-6.0565,50.9554,157,50,1.5,2.0,2.0
TRX/USDT,-6.4934,45.657,449,50,2.0,1.5,3.0
LTC/USDT,-7.7983,38.8235,85,50,1.5,1.5,3.0
TRB/USDT,-8.3811,41.6667,168,20,2.0,2.0,3.0
DOGE/USDT,-8.3889,33.3333,45,50,1.5,1.5,3.0
BTC/USDT,-8.4245,37.5,64,20,2.0,2.0,3.0
GRT/USDT,-9.0328,38.9189,185,50,2.0,1.5,3.0
XRP/USDT,-10.5623,23.6842,38,50,2.0,1.5,3.0
BCH/USDT,-11.4511,43.5185,108,20,2.0,1.5,2.0
WIF/USDT,-14.3446,40.7643,157,50,2.0,2.0,3.0
PYTH/USDT,-15.1344,44.0594,202,50,2.0,1.5,2.0
FIL/USDT,-15.5169,47.8261,92,50,2.0,2.0,2.0
TON/USDT,-15.936,45.8333,120,20,2.0,2.0,2.0
ETC/USDT,-17.7564,37.193,285,20,2.0,1.5,3.0
IMX/USDT,-17.8357,50.8403,238,50,2.0,2.0,2.0
BONK/USDT,-18.5378,47.7528,178,20,2.0,2.0,2.0
JUP/USDT,-21.5117,47.8261,138,50,1.5,2.0,2.0
PENDLE/USDT,-24.8327,43.6364,165,50,1.5,1.5,2.0
RUNE/USDT,-29.3244,43.804,347,20,2.0,1.5,2.0
INJ/USDT,-32.6881,40.6061,165,50,2.0,1.5,2.0
WLD/USDT,-35.7339,37.3016,126,20,2.0,1.5,2.0
